ref_date,geo,products_and_product_groups,value
2017-01-01,Canada,"Condiments, spices and vinegars",121.8
2017-01-01,Canada,Other food preparations,138.6
2017-01-01,Canada,Soup,142.2
2017-01-01,Canada,Baby foods,143.1
2017-01-01,Canada,Frozen food preparations,123.9
2017-01-01,Canada,All other food preparations,147.4
2017-01-01,Canada,Non-alcoholic beverages,124.8
2017-01-01,Canada,Food purchased from restaurants,146.2
2017-01-01,Canada,Food purchased from table-service restaurants,148.1
2017-01-01,Canada,Food purchased from fast food and take-out restaurants,141.8
2017-01-01,Canada,Food purchased from cafeterias and other restaurants,146.3
2017-01-01,Canada,Shelter,138.1
2017-01-01,Canada,Rented accommodation,120
2017-01-01,Canada,Rent,119.9
2017-01-01,Canada,Tenants' insurance premiums,109.7
2017-01-01,Canada,"Tenants' maintenance, repairs and other expenses",138.4
2017-01-01,Canada,Owned accommodation,141.6
2017-01-01,Canada,Mortgage interest cost,103.4
2017-01-01,Canada,Homeowners' replacement cost,165.3
2017-01-01,Canada,Property taxes and other special charges,158
2017-01-01,Canada,Homeowners' home and mortgage insurance,225.8
2017-01-01,Canada,Homeowners' maintenance and repairs,137
2017-01-01,Canada,Other owned accommodation expenses,165.6
2017-01-01,Canada,"Water, fuel and electricity",154.3
2017-01-01,Canada,Electricity,142.7
2017-01-01,Canada,Water,240.2
2017-01-01,Canada,Natural gas,114.1
2017-01-01,Canada,Fuel oil and other fuels,203
2017-01-01,Canada,"Household operations, furnishings and equipment",121.9
2017-01-01,Canada,Household operations,135.9
2017-01-01,Canada,Communications,126.2
2017-01-01,Canada,Telephone services,122.8
2017-01-01,Canada,Postal and other communications services,195.8
2017-01-01,Canada,Child care and housekeeping services,159.2
2017-01-01,Canada,Child care services,157.6
2017-01-01,Canada,Housekeeping services,163.4
2017-01-01,Canada,Household cleaning products,112.9
2017-01-01,Canada,Detergents and soaps (other than personal care),98.9
2017-01-01,Canada,Other household cleaning products,132.3
2017-01-01,Canada,"Paper, plastic and aluminum foil supplies",125.4
2017-01-01,Canada,Paper supplies,127.1
2017-01-01,Canada,Plastic and aluminum foil supplies,120.1
2017-01-01,Canada,Other household goods and services,146.2
2017-01-01,Canada,Pet food and supplies,140.3
2017-01-01,Canada,"Seeds, plants and cut flowers",124.6
2017-01-01,Canada,Other horticultural goods,109.7
2017-01-01,Canada,Other household supplies,117.9
2017-01-01,Canada,Other household services,180.5
2017-01-01,Canada,Household furnishings and equipment,98.1
2017-01-01,Canada,Furniture and household textiles,96.5
2017-01-01,Canada,Furniture,92.8
2017-01-01,Canada,Upholstered furniture,93.4
2017-01-01,Canada,Wooden furniture,96.1
2017-01-01,Canada,Other furniture,89.6
2017-01-01,Canada,Household textiles,110.6
2017-01-01,Canada,Window coverings,129.6
2017-01-01,Canada,Bedding and other household textiles,100.4
2017-01-01,Canada,Area rugs and mats,108.8
2017-01-01,Canada,Household equipment,88.9
2017-01-01,Canada,Household appliances,87.6
2017-01-01,Canada,Cooking appliances,87.5
2017-01-01,Canada,Refrigerators and freezers,86.3
2017-01-01,Canada,Laundry and dishwashing appliances,90.4
2017-01-01,Canada,Other household appliances,87.6
2017-01-01,Canada,"Non-electric kitchen utensils, tableware and cookware",79.5
2017-01-01,Canada,Tools and other household equipment,92.3
2017-01-01,Canada,"Household tools (including lawn, garden and snow removal equipment)",92.2
2017-01-01,Canada,Other household equipment,92.4
2017-01-01,Canada,Services related to household furnishings and equipment,184.9
2017-01-01,Canada,Clothing and footwear,93.7
2017-01-01,Canada,Clothing,82.9
2017-01-01,Canada,Women's clothing,78.6
2017-01-01,Canada,Men's clothing,92.1
2017-01-01,Canada,Children's clothing,75.7
2017-01-01,Canada,Footwear,93.8
2017-01-01,Canada,Women's footwear (excluding athletic),93.5
2017-01-01,Canada,Men's footwear (excluding athletic),95.6
2017-01-01,Canada,Children's footwear (excluding athletic),100.9
2017-01-01,Canada,Athletic footwear,90.1
2017-01-01,Canada,"Clothing accessories, watches and jewellery",137.4
2017-01-01,Canada,Leather clothing accessories,97.4
2017-01-01,Canada,Other clothing accessories,85
2017-01-01,Canada,Watches,112.1
2017-01-01,Canada,Jewellery,188.6
2017-01-01,Canada,"Clothing material, notions and services",147.2
2017-01-01,Canada,Clothing material and notions,121.3
2017-01-01,Canada,Laundry services,138.7
2017-01-01,Canada,Dry cleaning services,159.5
2017-01-01,Canada,Other clothing services,156.7
2017-01-01,Canada,Transportation,132.9
2017-01-01,Canada,Private transportation,131.3
2017-01-01,Canada,"Purchase, leasing and rental of passenger vehicles",101
2017-01-01,Canada,Purchase and leasing of passenger vehicles,100.9
2017-01-01,Canada,Purchase of passenger vehicles,101.8
2017-01-01,Canada,Leasing of passenger vehicles,95.9
2017-01-01,Canada,Rental of passenger vehicles,104.4
2017-01-01,Canada,Operation of passenger vehicles,158.5
2017-01-01,Canada,Gasoline,161.2
2017-01-01,Canada,"Passenger vehicle parts, maintenance and repairs",140.7
2017-01-01,Canada,"Passenger vehicle parts, accessories and supplies",132
2017-01-01,Canada,Passenger vehicle maintenance and repair services,145.9
2017-01-01,Canada,Other passenger vehicle operating expenses,166.1
2017-01-01,Canada,Passenger vehicle insurance premiums,167.7
2017-01-01,Canada,Passenger vehicle registration fees,137.3
2017-01-01,Canada,Drivers' licences,165.5
2017-01-01,Canada,Parking fees,186.1
2017-01-01,Canada,All other passenger vehicle operating expenses,136.5
2017-01-01,Canada,Public transportation,147.6
2017-01-01,Canada,Local and commuter transportation,156.5
2017-01-01,Canada,City bus and subway transportation,160.9
2017-01-01,Canada,Taxi and other local and commuter transportation services,144.2
2017-01-01,Canada,Inter-city transportation,142
2017-01-01,Canada,Air transportation,139.8
2017-01-01,Canada,"Rail, highway bus and other inter-city transportation",142.2
2017-01-01,Canada,Health and personal care,124.3
2017-01-01,Canada,Health care,127
2017-01-01,Canada,Health care goods,104.8
2017-01-01,Canada,Medicinal and pharmaceutical products,101
2017-01-01,Canada,Prescribed medicines (excluding medicinal cannabis),89.3
2017-01-01,Canada,Non-prescribed medicines,122
2017-01-01,Canada,Eye care goods,114.6
2017-01-01,Canada,Other health care goods,116.6
2017-01-01,Canada,Health care services,163.1
2017-01-01,Canada,Dental care services,158.2
2017-01-01,Canada,Other health care services,179
2017-01-01,Canada,Personal care,121.6
2017-01-01,Canada,Personal care supplies and equipment,107.5
2017-01-01,Canada,Personal soap,112.4
2017-01-01,Canada,Toiletry items and cosmetics,103.5
2017-01-01,Canada,Oral-hygiene products,124.6
2017-01-01,Canada,Other personal care supplies and equipment,105.7
2017-01-01,Canada,Personal care services,143.2
2017-01-01,Canada,"Recreation, education and reading",114
2017-01-01,Canada,Recreation,100.3
2017-01-01,Canada,Recreational equipment and services (excluding recreational vehicles),53.5
2017-01-01,Canada,Sporting and exercise equipment,83.1
2017-01-01,Canada,"Toys, games (excluding video games) and hobby supplies",91
2017-01-01,Canada,Digital computing equipment and devices,19.9
2017-01-01,Canada,Photographic equipment and supplies,26.1
2017-01-01,Canada,Other recreational equipment,75.9
2017-01-01,Canada,Recreational services,121.2
2017-01-01,Canada,Purchase and operation of recreational vehicles,128.7
2017-01-01,Canada,Purchase of recreational vehicles and outboard motors,110.8
2017-01-01,Canada,Operation of recreational vehicles,156.9
2017-01-01,Canada,"Fuel, parts and accessories for recreational vehicles",157.4
2017-01-01,Canada,"Insurance, licences and other services for recreational vehicles",155.1
2017-01-01,Canada,"Home entertainment equipment, parts and services",51.6
2017-01-01,Canada,Audio equipment,50.2
2017-01-01,Canada,Video equipment,25.5
2017-01-01,Canada,Purchase of digital media,76.6
2017-01-01,Canada,Travel services,100
2017-01-01,Canada,Traveller accommodation,96.7
2017-01-01,Canada,Travel tours,99.1
2017-01-01,Canada,Other cultural and recreational services,164.1
2017-01-01,Canada,Spectator entertainment (excluding video and audio subscription services),145.5
2017-01-01,Canada,Video and audio subscription services,185.5
2017-01-01,Canada,Use of recreational facilities and services,148.4
2017-01-01,Canada,Education and reading,160.2
2017-01-01,Canada,Education,164.6
2017-01-01,Canada,Tuition fees,173.1
2017-01-01,Canada,School textbooks and supplies,144.5
2017-01-01,Canada,"Other lessons, courses and education services",141
2017-01-01,Canada,Reading material (excluding textbooks),149.1
2017-01-01,Canada,Newspapers,173.3
2017-01-01,Canada,Magazines and periodicals,145.6
2017-01-01,Canada,Books and reading material (excluding textbooks),119.1
2017-01-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",161.1
2017-01-01,Canada,Alcoholic beverages,126.4
2017-01-01,Canada,Alcoholic beverages served in licensed establishments,139.6
2017-01-01,Canada,Beer served in licensed establishments,144.9
2017-01-01,Canada,Wine served in licensed establishments,126.8
2017-01-01,Canada,Liquor served in licensed establishments,140.3
2017-01-01,Canada,Alcoholic beverages purchased from stores,120.6
2017-01-01,Canada,Beer purchased from stores,129.2
2017-01-01,Canada,Wine purchased from stores,107.8
2017-01-01,Canada,Liquor purchased from stores,119.5
2017-01-01,Canada,Tobacco products and smokers' supplies,206.2
2017-01-01,Canada,Cigarettes,206
2017-01-01,Canada,Other tobacco products and smokers' supplies,210.7
2017-01-01,Canada,All-items excluding food,128
2017-01-01,Canada,All-items excluding food and energy,125.5
2017-01-01,Canada,All-items excluding mortgage interest cost,132.1
2017-01-01,Canada,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",129.4
2017-01-01,Canada,All-items excluding alcoholic beverages and recreational cannabis,130.5
2017-01-01,Canada,All-items excluding tobacco products and smokers' supplies and recreational cannabis,129.4
2017-01-01,Canada,All-items excluding shelter,127.6
2017-01-01,Canada,All-items excluding energy,128.5
2017-01-01,Canada,All-items excluding gasoline,129.2
2017-01-01,Canada,"All-items excluding shelter, insurance and financial services",125.8
2017-01-01,Canada,Private transportation excluding gasoline,122.5
2017-01-01,Canada,Food and energy,145.6
2017-01-01,Canada,Fresh fruit and vegetables,130.8
2017-01-01,Canada,Energy,152.7
2017-01-01,Canada,Housing (1986 definition),132.5
2017-01-01,Canada,Shelter (1986 definition),136.7
2017-01-01,Canada,Goods and services,130.4
2017-01-01,Canada,Goods,118.9
2017-01-01,Canada,Durable goods,90
2017-01-01,Canada,Semi-durable goods,96
2017-01-01,Canada,Non-durable goods,141.9
2017-01-01,Canada,Non-durable goods excluding food purchased from stores,142.6
2017-01-01,Canada,Non-durable goods excluding food purchased from stores and energy,132.2
2017-01-01,Canada,Goods excluding food purchased from stores,112.3
2017-01-01,Canada,Goods excluding food purchased from stores and energy,101.5
2017-01-01,Canada,Services,142
2017-01-01,Canada,Services excluding shelter services,145.4
2017-01-01,Newfoundland and Labrador,All-items,135.7
2017-01-01,Newfoundland and Labrador,Food,145
2017-01-01,Newfoundland and Labrador,Food purchased from stores,142.3
2017-01-01,Newfoundland and Labrador,Meat,149.4
2017-01-01,Newfoundland and Labrador,Fresh or frozen meat (excluding poultry),148.6
2017-01-01,Newfoundland and Labrador,Fresh or frozen beef,166.3
2017-01-01,Newfoundland and Labrador,Fresh or frozen pork,114.4
2017-01-01,Newfoundland and Labrador,Fresh or frozen poultry,152.2
2017-01-01,Newfoundland and Labrador,Fresh or frozen chicken,137.7
2017-01-01,Newfoundland and Labrador,Processed meat,151.8
2017-01-01,Newfoundland and Labrador,"Fish, seafood and other marine products",140.6
2017-01-01,Newfoundland and Labrador,Fish,142.4
2017-01-01,Newfoundland and Labrador,Dairy products and eggs,131.6
2017-01-01,Newfoundland and Labrador,Dairy products,128.1
2017-01-01,Newfoundland and Labrador,Fresh milk,124.8
2017-01-01,Newfoundland and Labrador,Butter,145.7
2017-01-01,Newfoundland and Labrador,Cheese,127.4
2017-01-01,Newfoundland and Labrador,Eggs,165.7
2017-01-01,Newfoundland and Labrador,Bakery and cereal products (excluding baby food),174.9
2017-01-01,Newfoundland and Labrador,Bakery products,197.1
2017-01-01,Newfoundland and Labrador,Cereal products (excluding baby food),140.1
2017-01-01,Newfoundland and Labrador,"Fruit, fruit preparations and nuts",134
2017-01-01,Newfoundland and Labrador,Fresh fruit,132.8
2017-01-01,Newfoundland and Labrador,Preserved fruit and fruit preparations,131.7
2017-01-01,Newfoundland and Labrador,Vegetables and vegetable preparations,120.1
2017-01-01,Newfoundland and Labrador,Fresh vegetables,110.9
2017-01-01,Newfoundland and Labrador,Preserved vegetables and vegetable preparations,145.3
2017-01-01,Newfoundland and Labrador,Other food products and non-alcoholic beverages,133.7
2017-01-01,Newfoundland and Labrador,Sugar and confectionery,164.3
2017-01-01,Newfoundland and Labrador,Edible fats and oils,163.6
2017-01-01,Newfoundland and Labrador,Coffee and tea,139.1
2017-01-01,Newfoundland and Labrador,Non-alcoholic beverages,102.1
2017-01-01,Newfoundland and Labrador,Food purchased from restaurants,156.8
2017-01-01,Newfoundland and Labrador,Shelter,155.7
2017-01-01,Newfoundland and Labrador,Rented accommodation,127.4
2017-01-01,Newfoundland and Labrador,Rent,127.2
2017-01-01,Newfoundland and Labrador,Owned accommodation,155.5
2017-01-01,Newfoundland and Labrador,Homeowners' replacement cost,186.8
2017-01-01,Newfoundland and Labrador,Property taxes and other special charges,166.2
2017-01-01,Newfoundland and Labrador,Homeowners' home and mortgage insurance,187.7
2017-01-01,Newfoundland and Labrador,Homeowners' maintenance and repairs,170.8
2017-01-01,Newfoundland and Labrador,"Water, fuel and electricity",167.8
2017-01-01,Newfoundland and Labrador,Electricity,152.3
2017-01-01,Newfoundland and Labrador,Water,204.6
2017-01-01,Newfoundland and Labrador,Fuel oil and other fuels,190.2
2017-01-01,Newfoundland and Labrador,"Household operations, furnishings and equipment",124.3
2017-01-01,Newfoundland and Labrador,Household operations,141.9
2017-01-01,Newfoundland and Labrador,Communications,139.9
2017-01-01,Newfoundland and Labrador,Telephone services,142.1
2017-01-01,Newfoundland and Labrador,Child care and housekeeping services,174.9
2017-01-01,Newfoundland and Labrador,Household cleaning products,114.6
2017-01-01,Newfoundland and Labrador,"Paper, plastic and aluminum foil supplies",121.3
2017-01-01,Newfoundland and Labrador,Other household goods and services,147.8
2017-01-01,Newfoundland and Labrador,Household furnishings and equipment,96.5
2017-01-01,Newfoundland and Labrador,Furniture and household textiles,97.3
2017-01-01,Newfoundland and Labrador,Furniture,93.4
2017-01-01,Newfoundland and Labrador,Household textiles,107.4
2017-01-01,Newfoundland and Labrador,Household equipment,88.8
2017-01-01,Newfoundland and Labrador,Household appliances,88.4
2017-01-01,Newfoundland and Labrador,"Non-electric kitchen utensils, tableware and cookware",81.7
2017-01-01,Newfoundland and Labrador,Clothing and footwear,96.4
2017-01-01,Newfoundland and Labrador,Clothing,89.6
2017-01-01,Newfoundland and Labrador,Women's clothing,82.3
2017-01-01,Newfoundland and Labrador,Men's clothing,101
2017-01-01,Newfoundland and Labrador,Children's clothing,86.5
2017-01-01,Newfoundland and Labrador,Footwear,97.9
2017-01-01,Newfoundland and Labrador,"Clothing accessories, watches and jewellery",125.9
2017-01-01,Newfoundland and Labrador,"Clothing material, notions and services",155.7
2017-01-01,Newfoundland and Labrador,Transportation,136.7
2017-01-01,Newfoundland and Labrador,Private transportation,135.9
2017-01-01,Newfoundland and Labrador,"Purchase, leasing and rental of passenger vehicles",104.5
2017-01-01,Newfoundland and Labrador,Purchase and leasing of passenger vehicles,104.7
2017-01-01,Newfoundland and Labrador,Purchase of passenger vehicles,105.6
2017-01-01,Newfoundland and Labrador,Operation of passenger vehicles,162.1
2017-01-01,Newfoundland and Labrador,Gasoline,162.9
2017-01-01,Newfoundland and Labrador,"Passenger vehicle parts, maintenance and repairs",160.3
2017-01-01,Newfoundland and Labrador,Other passenger vehicle operating expenses,157.9
2017-01-01,Newfoundland and Labrador,Passenger vehicle insurance premiums,158.6
2017-01-01,Newfoundland and Labrador,Passenger vehicle registration fees,147.9
2017-01-01,Newfoundland and Labrador,Public transportation,145.7
2017-01-01,Newfoundland and Labrador,Local and commuter transportation,146.8
2017-01-01,Newfoundland and Labrador,City bus and subway transportation,141.9
2017-01-01,Newfoundland and Labrador,Taxi and other local and commuter transportation services,148.4
2017-01-01,Newfoundland and Labrador,Inter-city transportation,144.9
2017-01-01,Newfoundland and Labrador,Health and personal care,119.6
2017-01-01,Newfoundland and Labrador,Health care,116.1
2017-01-01,Newfoundland and Labrador,Health care goods,96.6
2017-01-01,Newfoundland and Labrador,Medicinal and pharmaceutical products,89.2
2017-01-01,Newfoundland and Labrador,Prescribed medicines (excluding medicinal cannabis),77.5
2017-01-01,Newfoundland and Labrador,Non-prescribed medicines,131.6
2017-01-01,Newfoundland and Labrador,Health care services,165
2017-01-01,Newfoundland and Labrador,Personal care,124.7
2017-01-01,Newfoundland and Labrador,Personal care supplies and equipment,107.2
2017-01-01,Newfoundland and Labrador,Personal care services,154.5
2017-01-01,Newfoundland and Labrador,"Recreation, education and reading",111.5
2017-01-01,Newfoundland and Labrador,Recreation,109.7
2017-01-01,Newfoundland and Labrador,Recreational equipment and services (excluding recreational vehicles),58.4
2017-01-01,Newfoundland and Labrador,Purchase and operation of recreational vehicles,129.7
2017-01-01,Newfoundland and Labrador,"Home entertainment equipment, parts and services",55.3
2017-01-01,Newfoundland and Labrador,Travel services,112
2017-01-01,Newfoundland and Labrador,Traveller accommodation,118
2017-01-01,Newfoundland and Labrador,Other cultural and recreational services,176.4
2017-01-01,Newfoundland and Labrador,Video and audio subscription services,189.5
2017-01-01,Newfoundland and Labrador,Education and reading,120.5
2017-01-01,Newfoundland and Labrador,Education,113.5
2017-01-01,Newfoundland and Labrador,Tuition fees,103
2017-01-01,Newfoundland and Labrador,Reading material (excluding textbooks),161.1
2017-01-01,Newfoundland and Labrador,"Alcoholic beverages, tobacco products and recreational cannabis",172
2017-01-01,Newfoundland and Labrador,Alcoholic beverages,134.9
2017-01-01,Newfoundland and Labrador,Alcoholic beverages served in licensed establishments,153.4
2017-01-01,Newfoundland and Labrador,Alcoholic beverages purchased from stores,129.5
2017-01-01,Newfoundland and Labrador,Beer purchased from stores,129.7
2017-01-01,Newfoundland and Labrador,Wine purchased from stores,131.2
2017-01-01,Newfoundland and Labrador,Liquor purchased from stores,127.6
2017-01-01,Newfoundland and Labrador,Tobacco products and smokers' supplies,205.7
2017-01-01,Newfoundland and Labrador,Cigarettes,205.7
2017-01-01,Newfoundland and Labrador,All-items excluding food,133.7
2017-01-01,Newfoundland and Labrador,All-items excluding food and energy,128.2
2017-01-01,Newfoundland and Labrador,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",134.2
2017-01-01,Newfoundland and Labrador,All-items excluding alcoholic beverages and recreational cannabis,135.7
2017-01-01,Newfoundland and Labrador,All-items excluding tobacco products and smokers' supplies and recreational cannabis,134.2
2017-01-01,Newfoundland and Labrador,All-items excluding shelter,130.3
2017-01-01,Newfoundland and Labrador,All-items excluding energy,131.6
2017-01-01,Newfoundland and Labrador,All-items excluding gasoline,134.4
2017-01-01,Newfoundland and Labrador,"All-items excluding shelter, insurance and financial services",128.5
2017-01-01,Newfoundland and Labrador,Private transportation excluding gasoline,125.7
2017-01-01,Newfoundland and Labrador,Food and energy,152.9
2017-01-01,Newfoundland and Labrador,Fresh fruit and vegetables,121
2017-01-01,Newfoundland and Labrador,Energy,165.2
2017-01-01,Newfoundland and Labrador,Housing (1986 definition),143.9
2017-01-01,Newfoundland and Labrador,Shelter (1986 definition),154.1
2017-01-01,Newfoundland and Labrador,Goods and services,135.7
2017-01-01,Newfoundland and Labrador,Goods,127
2017-01-01,Newfoundland and Labrador,Durable goods,96.7
2017-01-01,Newfoundland and Labrador,Semi-durable goods,100.6
2017-01-01,Newfoundland and Labrador,Non-durable goods,147.9
2017-01-01,Newfoundland and Labrador,Services,149
2017-01-01,Prince Edward Island,All-items,133.2
2017-01-01,Prince Edward Island,Food,146.8
2017-01-01,Prince Edward Island,Food purchased from stores,148.1
2017-01-01,Prince Edward Island,Meat,153.2
2017-01-01,Prince Edward Island,Fresh or frozen meat (excluding poultry),167.6
2017-01-01,Prince Edward Island,Fresh or frozen beef,179.5
2017-01-01,Prince Edward Island,Fresh or frozen pork,137.2
2017-01-01,Prince Edward Island,Fresh or frozen poultry,131.9
2017-01-01,Prince Edward Island,Fresh or frozen chicken,129.1
2017-01-01,Prince Edward Island,Processed meat,153.4
2017-01-01,Prince Edward Island,"Fish, seafood and other marine products",139.2
2017-01-01,Prince Edward Island,Fish,151.9
2017-01-01,Prince Edward Island,Dairy products and eggs,149.3
2017-01-01,Prince Edward Island,Dairy products,147.4
2017-01-01,Prince Edward Island,Fresh milk,140.3
2017-01-01,Prince Edward Island,Butter,162
2017-01-01,Prince Edward Island,Cheese,140.9
2017-01-01,Prince Edward Island,Eggs,170.4
2017-01-01,Prince Edward Island,Bakery and cereal products (excluding baby food),182.7
2017-01-01,Prince Edward Island,Bakery products,202.6
2017-01-01,Prince Edward Island,Cereal products (excluding baby food),154.5
2017-01-01,Prince Edward Island,"Fruit, fruit preparations and nuts",129.8
2017-01-01,Prince Edward Island,Fresh fruit,116.3
2017-01-01,Prince Edward Island,Preserved fruit and fruit preparations,149.7
2017-01-01,Prince Edward Island,Vegetables and vegetable preparations,137
2017-01-01,Prince Edward Island,Fresh vegetables,130.5
2017-01-01,Prince Edward Island,Preserved vegetables and vegetable preparations,155.4
2017-01-01,Prince Edward Island,Other food products and non-alcoholic beverages,134.8
2017-01-01,Prince Edward Island,Sugar and confectionery,143.7
2017-01-01,Prince Edward Island,Edible fats and oils,161.6
2017-01-01,Prince Edward Island,Coffee and tea,145
2017-01-01,Prince Edward Island,Non-alcoholic beverages,92.2
2017-01-01,Prince Edward Island,Food purchased from restaurants,143.5
2017-01-01,Prince Edward Island,Shelter,133.8
2017-01-01,Prince Edward Island,Rented accommodation,117.3
2017-01-01,Prince Edward Island,Rent,116.9
2017-01-01,Prince Edward Island,Owned accommodation,120
2017-01-01,Prince Edward Island,Homeowners' replacement cost,122.6
2017-01-01,Prince Edward Island,Property taxes and other special charges,162.6
2017-01-01,Prince Edward Island,Homeowners' home and mortgage insurance,170.2
2017-01-01,Prince Edward Island,Homeowners' maintenance and repairs,153.7
2017-01-01,Prince Edward Island,"Water, fuel and electricity",177.5
2017-01-01,Prince Edward Island,Electricity,161.8
2017-01-01,Prince Edward Island,Water,134.2
2017-01-01,Prince Edward Island,Fuel oil and other fuels,180.5
2017-01-01,Prince Edward Island,"Household operations, furnishings and equipment",129.6
2017-01-01,Prince Edward Island,Household operations,141.7
2017-01-01,Prince Edward Island,Communications,129.3
2017-01-01,Prince Edward Island,Telephone services,127.5
2017-01-01,Prince Edward Island,Child care and housekeeping services,152.4
2017-01-01,Prince Edward Island,Household cleaning products,131.8
2017-01-01,Prince Edward Island,"Paper, plastic and aluminum foil supplies",147.4
2017-01-01,Prince Edward Island,Other household goods and services,148.4
2017-01-01,Prince Edward Island,Household furnishings and equipment,104.3
2017-01-01,Prince Edward Island,Furniture and household textiles,102
2017-01-01,Prince Edward Island,Furniture,99.5
2017-01-01,Prince Edward Island,Household textiles,116.5
2017-01-01,Prince Edward Island,Household equipment,98.1
2017-01-01,Prince Edward Island,Household appliances,102.4
2017-01-01,Prince Edward Island,"Non-electric kitchen utensils, tableware and cookware",69.9
2017-01-01,Prince Edward Island,Clothing and footwear,101.7
2017-01-01,Prince Edward Island,Clothing,91.3
2017-01-01,Prince Edward Island,Women's clothing,93
2017-01-01,Prince Edward Island,Men's clothing,96.1
2017-01-01,Prince Edward Island,Children's clothing,71.9
2017-01-01,Prince Edward Island,Footwear,111.5
2017-01-01,Prince Edward Island,"Clothing accessories, watches and jewellery",141.5
2017-01-01,Prince Edward Island,"Clothing material, notions and services",170.1
2017-01-01,Prince Edward Island,Transportation,132.2
2017-01-01,Prince Edward Island,Private transportation,131.2
2017-01-01,Prince Edward Island,"Purchase, leasing and rental of passenger vehicles",100.4
2017-01-01,Prince Edward Island,Purchase and leasing of passenger vehicles,100.2
2017-01-01,Prince Edward Island,Purchase of passenger vehicles,100.9
2017-01-01,Prince Edward Island,Operation of passenger vehicles,152.7
2017-01-01,Prince Edward Island,Gasoline,162
2017-01-01,Prince Edward Island,"Passenger vehicle parts, maintenance and repairs",142
2017-01-01,Prince Edward Island,Other passenger vehicle operating expenses,148.2
2017-01-01,Prince Edward Island,Passenger vehicle insurance premiums,148.3
2017-01-01,Prince Edward Island,Passenger vehicle registration fees,126.1
2017-01-01,Prince Edward Island,Public transportation,148.5
2017-01-01,Prince Edward Island,Local and commuter transportation,149.7
2017-01-01,Prince Edward Island,Taxi and other local and commuter transportation services,154.2
